Date,variant_freq,label,label1
2021-05-04,0.7580206862335436,70perc1May,high
2021-05-05,0.7666589448597755,70perc1May,high
2021-05-06,0.7750104178763196,70perc1May,high
2021-05-07,0.7830770786928579,70perc1May,high
2021-05-08,0.7908616049878824,70perc1May,high
2021-05-09,0.7983673184161912,70perc1May,high
2021-05-10,0.8055981245440554,70perc1May,high
2021-05-11,0.812558453583887,70perc1May,high
2021-05-12,0.8192532024287779,70perc1May,high
2021-05-13,0.825687678416208,70perc1May,high
2021-05-14,0.8318675451809131,70perc1May,high
2021-05-15,0.8377987708905149,70perc1May,high
2021-05-16,0.8434875790949241,70perc1May,high
2021-05-17,0.848940402362407,70perc1May,high
2021-05-18,0.8541638388220474,70perc1May,high
2021-05-19,0.8591646116843542,70perc1May,high
2021-05-20,0.863949531769168,70perc1May,high
2021-05-21,0.8685254630326946,70perc1May,high
2021-05-22,0.8728992910533848,70perc1May,high
2021-05-23,0.8770778944092247,70perc1May,high
2021-05-24,0.8810681188565174,70perc1May,high
2021-05-25,0.8848767542021164,70perc1May,high
2021-05-26,0.888510513746896,70perc1May,high
2021-05-27,0.891976016167684,70perc1May,high
2021-05-28,0.8952797696975068,70perc1May,high
2021-05-29,0.8984281584594358,70perc1May,high
2021-05-30,0.9014274308072151,70perc1May,high
2021-05-31,0.9042836895258138,70perc1May,high
2021-06-01,0.907002883746787,70perc1May,high
2021-06-02,0.9095908024365025,70perc1May,high
2021-06-03,0.912053069319656,70perc1May,high
2021-06-04,0.9143951391057783,70perc1May,high
2021-06-05,0.9166222948924276,70perc1May,high
2021-06-06,0.9187396466252561,70perc1May,high
2021-06-07,0.9207521305019811,70perc1May,high
2021-06-08,0.9226645092143226,70perc1May,high
2021-06-09,0.9244813729290736,70perc1May,high
2021-06-10,0.9262071409165514,70perc1May,high
2021-06-11,0.9278460637416365,70perc1May,high
2021-06-12,0.9294022259393904,70perc1May,high
2021-06-13,0.9308795491037956,70perc1May,high
2021-06-14,0.9322817953244305,70perc1May,high
2021-06-15,0.9336125709118682,70perc1May,high
2021-06-16,0.9348753303582354,70perc1May,high
2021-06-17,0.9360733804846771,70perc1May,high
2021-06-18,0.9372098847324541,70perc1May,high
2021-06-19,0.9382878675590205,70perc1May,high
2021-06-20,0.9393102189047315,70perc1May,high
2021-06-21,0.9402796986998003,70perc1May,high
2021-06-22,0.9411989413847662,70perc1May,high
2021-06-23,0.9420704604210881,70perc1May,high
2021-06-24,0.942896652771535,70perc1May,high
2021-06-25,0.9436798033328174,70perc1May,high
2021-06-26,0.9444220893054418,70perc1May,high
2021-06-27,0.9451255844880346,70perc1May,high
2021-06-28,0.9457922634854513,70perc1May,high
2021-06-29,0.9464240058218265,70perc1May,high
2021-06-30,0.9470225999513667,70perc1May,high
2021-07-01,0.9475897471611731,70perc1May,high
2021-07-02,0.9481270653616757,70perc1May,high
2021-07-03,0.948636092761428,70perc1May,high
2021-07-04,0.9491182914240276,70perc1May,high
2021-07-05,0.9495750507058192,70perc1May,high
2021-07-06,0.9500076905738288,70perc1May,high
2021-07-07,0.950417464804043,70perc1May,high
2021-07-08,0.9508055640607431,70perc1May,high
2021-07-09,0.9511731188581023,70perc1May,high
2021-07-10,0.9515212024056778,70perc1May,high
2021-07-11,0.9518508333397995,70perc1May,high
2021-07-12,0.9521629783431416,70perc1May,high
2021-07-13,0.9524585546550286,70perc1May,high
2021-07-14,0.9527384324752085,70perc1May,high
2021-07-15,0.9530034372639954,70perc1May,high
2021-07-16,0.9532543519417975,70perc1May,high
2021-07-17,0.9534919189911392,70perc1May,high
